id,salary_in_usd
0,111430.23666666668
1,214801.1
2,120219.33333333334
3,86155.38
4,44438.19
5,107745.455
6,63604.43749999999
7,63854.79583333333
8,30355.495
9,235308.99999999997
10,55154.33
11,310439.98571428575
12,68852.90542857144
13,24308.2775
14,79127.13666666667
15,60375.773
16,70115.86666666667
17,108488.66666666669
18,59058.08166666666
19,55282.176
20,95676.87
21,63587.77783333333
22,72147.92
23,187390.0
24,45207.624
25,51622.5915
26,72392.4761904762
27,248980.56
28,30386.77
29,52219.605
30,48546.5
31,104371.95238095237
32,72748.83523809524
33,59422.74566666668
34,76190.99
35,81575.91883333334
36,191195.59126984127
37,80073.88466666666
38,78525.45666666667
39,209466.1
40,38462.76
41,36593.24
42,112816.66666666669
43,165619.95973830973
44,90751.66666666666
45,224826.5
46,109844.769
47,66241.32166666666
48,104371.95238095237
49,47224.834
50,93544.16666666669
51,58128.1025
52,110702.02857142859
53,163837.7383537827
54,111230.60530952379
55,87356.90301190478
56,161559.93661859346
57,127728.82262626263
58,111033.44224869799
59,135818.40365773987
60,111033.44224869799
61,219437.8333333333
62,135818.40365773987
63,131614.55945915193
64,182626.66583333336
65,201182.5339761905
66,201182.5339761905
67,135818.40365773987
68,107574.02155266954
69,85705.49108333333
70,190353.39047619049
71,172236.94043290045
72,84704.11466666666
73,73841.41802380951
74,106792.59
75,132954.10735714287
76,76349.38342857143
77,83034.1719047619
78,77424.4315
79,153390.27
80,33518.60666666667
81,45301.16083333334
82,309533.25
83,244361.70099999997
84,139910.10437229433
85,57119.78191666665
86,57119.78191666665
87,161559.93661859346
88,135818.40365773987
89,42441.55
90,86478.1
91,44166.83083333334
92,84094.8375
93,51508.84
94,135818.40365773987
95,275314.5
96,64375.62666666667
97,84181.705
98,76440.47
99,207657.29680735932
100,135818.40365773987
101,111033.44224869799
102,111033.44224869799
103,201182.5339761905
104,161559.93661859346
105,71140.2
106,107574.02155266954
