id,salary_in_usd
0,96839.1396059345
1,187288.33602882328
2,108660.85040866601
3,81235.7155866891
4,35563.97347920118
5,86717.40856540867
6,107686.0766364397
7,45413.916259789155
8,29645.74521687278
9,181039.61998311616
10,53616.786410547036
11,177455.91228873894
12,56683.69627667388
13,22084.6970107421
14,95041.19089604184
15,49514.61962567667
16,82508.90933275232
17,108314.96577302302
18,51626.345216863054
19,30699.002676633885
20,49360.539094687556
21,45068.03162414617
22,70919.06903537641
23,181922.4949605288
24,12274.641804838144
25,11128.241369862668
26,93800.42015073127
27,245247.05733680708
28,39209.15167101897
29,133842.45409235978
30,128373.342130244
31,131490.02342636415
32,139588.5472225393
33,34779.75714061348
34,67658.98897959347
35,71135.73410151439
36,181922.4949605288
37,56717.59718900464
38,67658.98897959347
39,188988.8612266359
40,6553.075380790547
41,37968.218170147215
42,108314.96577302302
43,164272.7635970588
44,100869.42807585688
45,314639.9258247054
46,127033.10093931592
47,63120.78459854112
48,131490.02342636415
49,27911.20807261571
50,130476.3084826213
51,51228.00878663043
52,133678.98381549853
53,139369.98487353916
54,101642.72390942089
55,67689.92361021835
56,158250.0999253713
57,149159.73232006078
58,114770.5211782447
59,145037.17205779735
60,114770.5211782447
61,244298.15805688826
62,145037.17205779735
63,138274.5697663417
64,182703.58311914254
65,167465.64140104433
66,167465.64140104433
67,145037.17205779735
68,107511.59345894096
69,71726.72286395836
70,224371.1502306379
71,158423.24830586178
72,68801.20756394624
73,61554.11423455932
74,112695.69004599677
75,131879.7163579935
76,70706.7758036807
77,73969.84604625085
78,82776.45161607844
79,165517.9892413652
80,43572.65918883789
81,52439.00200768908
82,276446.76754745137
83,235764.63966395755
84,109629.3178528147
85,67689.92361021835
86,67689.92361021835
87,158250.0999253713
88,145037.17205779735
89,39215.5951592169
90,61413.943661906305
91,52439.00200768908
92,81586.60841176302
93,44424.05250471582
94,145037.17205779735
95,275808.2227335456
96,30295.579650214302
97,81648.55817867434
98,60911.00878097288
99,183129.17284516507
100,145037.17205779735
101,114770.5211782447
102,114770.5211782447
103,167465.64140104433
104,158250.0999253713
105,52896.05927799964
106,107511.59345894096
