id,salary_in_usd
0,113554.155
1,220790.1666666667
2,116761.99999999999
3,82454.474
4,42336.14
5,109568.51333333332
6,65803.81
7,60610.50316666666
8,30614.91
9,213842.3333333333
10,68373.75
11,281497.6666666667
12,70052.08758874459
13,22640.05
14,80643.95
15,57705.59035714286
16,73744.9
17,111344.66666666669
18,56967.45583333333
19,54683.306
20,100113.47
21,69527.44557142857
22,74562.17
23,181369.56666666668
24,43433.385
25,49080.1275
26,78966.80952380953
27,238307.49899999998
28,32170.6025
29,66825.918
30,57772.893
31,118607.73593073593
32,70905.35933333334
33,62467.2845
34,76142.06
35,76974.01119047619
36,185046.46666666665
37,75371.00785714286
38,79962.25
39,204122.8333333333
40,44594.22
41,34497.0
42,114579.66666666669
43,165076.63171171173
44,91257.38095238093
45,229913.42857142858
46,103408.78416666666
47,66102.00333333334
48,118607.73593073593
49,54579.965
50,107780.66666666666
51,44624.947
52,113777.48095238095
53,162689.52049344493
54,105590.17694444442
55,89467.10314285714
56,162426.4045942144
57,124783.7017948718
58,111981.80122016561
59,136358.94789419926
60,111981.80122016561
61,224793.7857142857
62,136358.94789419926
63,130195.75106421357
64,180174.69733333334
65,205776.15209523813
66,205776.15209523813
67,136358.94789419926
68,107252.21418919972
69,84205.42800000001
70,188091.13333333336
71,171854.85891330897
72,79112.60444444446
73,75816.3080952381
74,90221.45166666668
75,130701.42535714287
76,74049.86184920635
77,83268.23519191919
78,78396.86666666667
79,146494.58857142858
80,25499.762000000002
81,39553.59683333334
82,285777.6
83,234700.858
84,138751.31029430867
85,57171.11528571429
86,57171.11528571429
87,162426.4045942144
88,136358.94789419926
89,43581.874
90,76400.5
91,47279.19933333334
92,81296.42
93,44819.22
94,136358.94789419926
95,249432.47857142857
96,59129.03666666667
97,81825.67833333333
98,74850.03333333333
99,212641.94472582973
100,136358.94789419926
101,111981.80122016561
102,111981.80122016561
103,205776.15209523813
104,162426.4045942144
105,74317.79
106,107252.21418919972
