id,salary_in_usd
0,135202.4
1,111007.30158730158
2,111007.30158730158
3,70262.2
4,37851.1
5,140000.0
6,55414.1
7,79184.7
8,26948.0
9,340724.7008547009
10,58384.1
11,250366.6666666667
12,41472.2
13,9043.5
14,83377.4
15,61269.4
16,99012.71666666667
17,157394.79108309993
18,49848.36666666666
19,55984.1
20,23896.9
21,74338.55
22,67430.4
23,152033.33333333334
24,18053.0
25,12657.5
26,73983.33333333333
27,177892.14285714287
28,46431.25
29,106526.9
30,104110.3
31,186571.52777777775
32,123961.5
33,64866.05
34,60191.5
35,69900.9
36,152033.33333333334
37,59841.1
38,62213.0
39,174421.12685560054
40,21871.6
41,33227.7
42,157394.79108309993
43,174421.12685560054
44,91100.0
45,234190.0
46,102838.33333333334
47,62213.0
48,186571.52777777775
49,12280.6
50,214766.66666666666
51,33127.6
52,119907.21
53,156204.65622612683
54,119907.21
55,71551.73900058275
56,140446.889522889
57,204586.12193362194
58,140446.889522889
59,140446.889522889
60,140446.889522889
61,204586.12193362194
62,140446.889522889
63,130084.19431190596
64,130084.19431190596
65,140446.889522889
66,140446.889522889
67,140446.889522889
68,130084.19431190596
69,71551.73900058275
70,119907.21
71,230931.4090909091
72,93959.9375
73,56416.88726190476
74,94790.6
75,119907.21
76,59432.33547619048
77,72782.10634920634
78,94637.18000000001
79,151127.73809523808
80,38678.27333333333
81,113050.2
82,200272.73809523808
83,165820.22727272726
84,156204.65622612683
85,71551.73900058275
86,71551.73900058275
87,140446.889522889
88,140446.889522889
89,24071.6
90,66950.1
91,38200.8
92,58642.4
93,126916.5
94,140446.889522889
95,174952.07142857142
96,62115.5
97,77977.5
98,73976.2
99,130084.19431190596
100,140446.889522889
101,140446.889522889
102,140446.889522889
103,140446.889522889
104,140446.889522889
105,69686.1
106,130084.19431190596
